BIL      ,LONGITUD,LATITUD,"KOD FASILITI
","NAMA
","ALAMAT 
",POSKOD           ,LOKASI                             ,PEJABAT KESIHATAN DAERAH,"BANDAR
",DAERAH           ,"NEGERI
",PURATA BEBAN KERJA SEHARI,"JENIS KLINIK (BERDASARKAN PURATA BEBAN KERJA SEHARI)                                                                                                                                 KK1 = >800, KK2 = 500-800, KK3 = 300-500, KK4 =150 -300, KK5 = 100-150, KK6 = 50-100, KK7 = <50",NO TELEFON                          ,NO FAX             ,VAKSIN BCG (Tuberculosis),VAKSIN HEP B (Hepatitis B),"VAKSIN DTaP-Hib/IPV (Difteria, Tetanus, Pertusis, Hemophilus Influenza B, Polio)","VAKSIN MMR (Measles, Mumps, Rubella)",VAKSIN JE (Japaneese Encephalitis),VAKSIN Measles
481,103.283223,3.779994,21-06050375,KK KURNIA,"BATU 3, JALAN GAMBANG",25150,BANDAR,PKD KUANTAN,KUANTAN,KUANTAN,PAHANG,378,KK3,09-5361333,09-5361566,Ada,Ada,Ada,Ada,Tiada,Tiada
482,103.275670,3.777211,21-06050376,KK PAYA BESAR,JALAN BAIPAS PAHANG,25100,BANDAR,PKD KUANTAN,KUANTAN,KUANTAN,PAHANG,383,KK3,09-5395433/ 5434,09-5395436,Ada,Ada,Ada,Ada,Tiada,Tiada
483,103.286980,3.824480,21-06040392,KK INDERA MAHKOTA,"JLM INDERA MAHKOTA 4, BANDAR INDERA MAHKOTA",25582,BANDAR,PKD KUANTAN,KUANTAN,KUANTAN,PAHANG,434,KK3,09-5736572,-,Ada,Ada,Ada,Ada,Tiada,Tiada
484,101.960570,4.013210,21-06060031,KK BENTA,BENTA,27300,BANDAR,PKD LIPIS,KUALA LIPIS,LIPIS,PAHANG,147,KK5,09-3239211,09-3238158,Ada,Ada,Ada,Ada,Tiada,Tiada
485,101.920825,4.256537,21-06060033,KK BUKIT BETONG,KUALA LIPIS,27200,BANDAR,PKD LIPIS,KUALA LIPIS,LIPIS,PAHANG,59,KK6,09-3291212,09-3122685 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
486,102.269170,4.073710,21-06060060,KK MELA,KUALA LIPIS,27200,LUAR BANDAR,PKD LIPIS,KUALA LIPIS,LIPIS,PAHANG,62,KK6,09-3129424,09-3122685 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
487,102.004340,4.690787,21-06060062,KK MERAPOH,KUALA LIPIS,27210,LUAR BANDAR,PKD LIPIS,KUALA LIPIS,LIPIS,PAHANG,97,KK6,09-9122377,09-3122685 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
488,101.988972,4.234362,21-06060065,KK PADANG TENGKU,KG PADANG TENGKU,27100,BANDAR,PKD LIPIS,KUALA LIPIS,LIPIS,PAHANG,167,KK4,09-3291533,09-3122685 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
489,101.797810,4.217570,21-06060074,KK SUNGAI KOYAN,POLIKLINIK KOMUNITI SUNGAI KOYAN,27650,BANDAR,PKD LIPIS,KUALA LIPIS,LIPIS,PAHANG,125,KK5,09-3401533,09-3122685 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
490,101.954873,4.040373,21-06060156,KK JERKOH,BENTA,27300,LUAR BANDAR,PKD LIPIS,KUALA LIPIS,LIPIS,PAHANG,22,KK7,09-3239440,09-3122685 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
491,101.805265,4.285551,21-06060265,KK POS BETAU,KUALA LIPIS,27200,LUAR BANDAR,PKD LIPIS,KUALA LIPIS,LIPIS,PAHANG,94,KK6,09-3401533 (KK Sungai Koyan),09-3122685 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
492,102.542610,3.765780,21-06070027,KK BANDAR JENGKA,BANDAR JENGKA,26400,BANDAR,PKD MARAN,JENGKA,MARAN,PAHANG,241,KK4,09-4677198/ 09-4677197,09-4677033,Ada,Ada,Ada,Ada,Tiada,Tiada
493,102.592200,3.479430,21-06070038,KK CHENOR,CHENOR,28100,LUAR BANDAR,PKD MARAN,CHENOR,MARAN,PAHANG,128,KK5,09-2995391,09-2995391,Ada,Ada,Ada,Ada,Tiada,Tiada
494,102.612708,3.715155,21-06070045,KK JENGKA 2,BANDAR JENGKA,26400,LUAR BANDAR,PKD MARAN,JENGKA,MARAN,PAHANG,135,KK5,09-4764320,09-4674146,Ada,Ada,Ada,Ada,Tiada,Tiada
495,102.475600,3.718530,21-06070046,KK JENGKA 22,"POLIKLINIK KOMUNITI FELDA JENGKA 22, BANDAR JENGKA",26400,LUAR BANDAR,PKD MARAN,JENGKA,MARAN,PAHANG,112,KK5,09-4864423,09-4863837,Ada,Ada,Ada,Ada,Tiada,Tiada
496,102.774250,3.584740,21-06070059,KK MARAN,MARAN,26500,LUAR BANDAR,PKD MARAN,MARAN,MARAN,PAHANG,286,KK4,09-4771333,09-4771504,Ada,Ada,Ada,Ada,Tiada,Tiada
497,102.531304,3.493259,21-06070066,KK PEKAN AWAH,MARAN,28000,LUAR BANDAR,PKD MARAN,MARAN,MARAN,PAHANG,167,KK4,09-2986333,09-2987216,Ada,Ada,Ada,Ada,Tiada,Tiada
498,102.690840,3.560580,21-06070067,KK PEKAN TAJAU,MARAN,26500,LUAR BANDAR,PKD MARAN,MARAN,MARAN,PAHANG,97,KK6,09-4774782/ 09-4774621,09-4774403,Ada,Ada,Ada,Ada,Tiada,Tiada
499,102.615150,3.616160,21-06070152,KK JENGKA 7,KLINIK KESIHATAN JENGKA 7,26400,LUAR BANDAR,PKD MARAN,JERANTUT,MARAN,PAHANG,58,KK6,09-4671566,-,Ada,Ada,Ada,Ada,Tiada,Tiada
500,102.945780,3.374560,21-06080040,KK CHINI,FELDA CHINI 1,26690,BANDAR,PKD PEKAN,PEKAN,PEKAN,PAHANG,283,KK4,09-4566333,09-4566458,Ada,Ada,Ada,Ada,Tiada,Tiada
501,103.441185,3.140533,21-06080063,KK NENASI,KAMPONG NENASI,26680,BANDAR,PKD PEKAN,PEKAN,PEKAN,PAHANG,114,KK5,09-4181233,-,Ada,Ada,Ada,Ada,Tiada,Tiada
502,103.202001,3.530563,21-06080064,KK PADANG RUMBIA,KG. PADANG RUMBIA,26650,BANDAR,PKD PEKAN,PEKAN,PEKAN,PAHANG,72,KK6,09-4281205,-,Ada,Ada,Ada,Ada,Tiada,Tiada
503,103.383000,3.546290,21-06080068,KK PERAMU JAYA,PERAMU JAYA,26600,BANDAR,PKD PEKAN,PEKAN,PEKAN,PAHANG,218,KK4,09-4269609,-,Ada,Ada,Ada,Ada,Tiada,Tiada
504,103.032088,3.354456,21-06080276,KK RUNCHANG,PEKAN,26690,LUAR BANDAR,PKD PEKAN,PEKAN,PEKAN,PAHANG,39,KK7,09-4530791,09-4223086 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
505,103.393428,3.489294,21-06080362,KK BANDAR PEKAN,PEKAN,26600,BANDAR,PKD RAUB,PEKAN,PEKAN,PAHANG,226,KK4,09-4221044,09-4211720,Ada,Ada,Ada,Ada,Tiada,Tiada
506,101.811647,3.911918,21-06090039,KK CHEROH,RAUB,27610,BANDAR,PKD RAUB,RAUB,RAUB,PAHANG,101,KK5,09-3697228,09-3556639 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
507,101.895470,3.901050,21-06090042,KK DONG,RAUB,27400,BANDAR,PKD RAUB,RAUB,RAUB,PAHANG,95,KK6,09-3658355,09-3658208,Ada,Ada,Ada,Ada,Tiada,Tiada
508,101.904628,3.981466,21-06090048,KK JERUAS,SEGA PAHANG,27660,LUAR BANDAR,PKD RAUB,RAUB,RAUB,PAHANG,55,KK6,09-3657333 (MCH)/09-365798 (OPD),09-3556639 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
509,102.004253,3.689875,21-06090056,KK LEMBAH KLAU,RAUB,27630,BANDAR,PKD RAUB,RAUB,RAUB,PAHANG,68,KK6,09-3688333,09-3556639 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
510,101.782565,3.984590,21-06090081,KK TERSANG,FELDA TERSANG ,27600,BANDAR,PKD RAUB,RAUB,RAUB,PAHANG,108,KK5,09-3403086,09-3556639 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
511,101.933624,3.823146,21-06090083,KK ULU GALI,RAUB,27600,BANDAR,PKD RAUB,RAUB,RAUB,PAHANG,92,KK6,09-3686355 (MCH)/ 09-3686826 (OPD),09-3556639 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
512,101.753769,3.711193,21-06090363,KK BUKIT FRASER,BUKIT FRASER,49000,BANDAR,PKD RAUB,BUKIT FRASER,RAUB,PAHANG,10,KK7,09-3622333,09-3556639 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
513,102.899880,2.904100,21-06100030,KK BANDAR TUN RAZAK,BANDAR TUN RAZAK,26900,BANDAR,PKD ROMPIN,BANDAR TUN RAZAK,ROMPIN,PAHANG,186,KK4,09-4457297,09-4457397,Ada,Ada,Ada,Ada,Tiada,Tiada
514,102.976785,3.164705,21-06100035,KK BUKIT IBAM,BUKIT IBAM,26760,LUAR BANDAR,PKD ROMPIN,MUADZAM SHAH,ROMPIN,PAHANG,102,KK5,09-4585231,09-458321,Ada,Ada,Ada,Ada,Tiada,Tiada
515,102.984424,2.857706,21-06100037,KK CHANIS,"FELDA KRATONG 7, BANDAR CHANIS ",26800,LUAR BANDAR,PKD ROMPIN,MUADZAM SHAH,ROMPIN,PAHANG,67,KK5,09-4471106,09-4471106,Ada,Ada,Ada,Ada,Tiada,Tiada
516,102.981827,2.963784,21-06100069,KK PERANTAU DAMAI,MUADZAM SHAH,26700,LUAR BANDAR,PKD ROMPIN,MUADZAM SHAH,ROMPIN,PAHANG,92,KK6,09-4431333,09-4431333,Ada,Ada,Ada,Ada,Tiada,Tiada
517,102.949297,2.687101,21-06100070,KK PERWIRA JAYA,MUADZAM SHAH,26700,LUAR BANDAR,PKD ROMPIN,MUADZAM SHAH,ROMPIN,PAHANG,85,KK6,09-4371176,09-4371176,Ada,Ada,Ada,Ada,Tiada,Tiada
518,103.480480,2.801470,21-06100071,KK ROMPIN,KUALA ROMPIN,26800,BANDAR,PKD ROMPIN,ROMPIN,ROMPIN,PAHANG,192,KK4,09-4145333,09-4141836,Ada,Ada,Ada,Ada,Tiada,Tiada
519,103.613860,2.670730,21-06100078,KK TANJUNG GEMOK,KUALA ROMPIN,26820,BANDAR,PKD ROMPIN,ROMPIN,ROMPIN,PAHANG,134,KK5,09-4132510,09-4132510,Ada,Ada,Ada,Ada,Tiada,Tiada
520,104.158310,2.817160,21-06100079,KK TEKEK,"PULAU TIOMAN, KUALA ROMPIN",26800,LUAR BANDAR,PKD ROMPIN,TIOMAN,ROMPIN,PAHANG,47,KK7,09-4191880,09-4191109,Ada,Ada,Ada,Ada,Tiada,Tiada
521,103.427790,2.889870,21-06100233,KK LEBAN CHONDONG,"LEBAN CHONDONG, K.ROMPIN",26800,LUAR BANDAR,PKD ROMPIN,ROMPIN,ROMPIN,PAHANG,59,KK6,09-4141237,-,Ada,Ada,Ada,Ada,Tiada,Tiada
522,102.342050,3.480710,21-06110029,KK BANDAR MENTAKAB,JALAN KARAK,28400,BANDAR,PKD TEMERLOH,MENTAKAB,TEMERLOH,PAHANG,515,KK2,09-2771845,09-2771836,Ada,Ada,Ada,Ada,Tiada,Tiada
523,102.365370,3.709520,21-06110052,KK KUALA KRAU,"POLIKLINIK KESIHATAN MASYARAKAT, KUALA KRAU",28050,BANDAR,PKD TEMERLOH,TEMERLOH,TEMERLOH,PAHANG,207,KK4,09-2861242/ 09-2862912,09-2861242,Ada,Ada,Ada,Ada,Tiada,Tiada
524,102.184890,3.499420,21-06110055,KK LANCHANG,LANCHANG,28500,BANDAR,PKD TEMERLOH,LANCHANG,TEMERLOH,PAHANG,144,KK5,09-2803233,09-2803233,Ada,Ada,Ada,Ada,Tiada,Tiada
525,102.422430,3.526810,21-06110072,"KK SANGGANG, TEMERLOH PAHANG",SANGGANG,28020,BANDAR,PKD TEMERLOH,TEMERLOH,TEMERLOH,PAHANG,111,KK5,09-2846333,09-2847982,Ada,Ada,Ada,Ada,Tiada,Tiada
526,102.423713,3.446040,21-06110080,KK TEMERLOH,JALAN TRIANG,28000,BANDAR,PKD TEMERLOH,TEMERLOH,TEMERLOH,PAHANG,307,KK3,09-2961275,09-2964885 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
527,102.382642,3.579173,21-06110203,KK KERDAU,KERDAU,28010,LUAR BANDAR,PKD TEMERLOH,TEMERLOH,TEMERLOH,PAHANG,54,KK6,09-2847003,09-2964885 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
528,102.396777,3.516495,21-06110377,KK TANJUNG LALANG,JALAN MENTAKAB,28000,BANDAR,PKD TEMERLOH,TEMERLOH,TEMERLOH,PAHANG,256,KK4,09-2961152,09-2961109,Ada,Ada,Ada,Ada,Tiada,Tiada
529,102.586730,5.672530,21-11010028,KK JABI,"JERTEH, JALAN KUALA TERENGGANU",22020,LUAR BANDAR,PKD BESUT,JERTEH,BESUT,TERENGGANU,177,KK4,09-6941288 / 09-6942963,09-6958699 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
530,102.493242,5.737004,21-11010030,KK JERTEH,JALAN PASIR AKAR,22000,BANDAR,PKD BESUT,JERTEH,BESUT,TERENGGANU,161,KK4,09-6971433,09-6958699 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
531,102.564690,5.796940,21-11010035,KK KG. RAJA BESUT,BESUT,22200,LUAR BANDAR,PKD BESUT,BESUT,BESUT,TERENGGANU,258,KK4,09-6956341 / 09-6953853,09-6958699 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
532,102.540750,5.833770,21-11010039,KK KUALA BESUT,JALAN SEMERAK,22300,LUAR BANDAR,PKD BESUT,BESUT,BESUT,TERENGGANU,336,KK3,09-6919333 / 09-6917664,09-6917068,Ada,Ada,Ada,Ada,Tiada,Tiada
533,102.504586,5.638028,21-11010046,KK PASIR AKAR,"JERTEH, BESUT",22010,LUAR BANDAR,PKD BESUT,JERTEH,BESUT,TERENGGANU,175,KK5,09-6975373 / 09-6917644,09-6958699 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
534,102.567877,5.827006,21-11010160,KK PULAU PERHENTIAN,"KG. PULAU PERHENTIAN, KUALA BESUT",22300,LUAR BANDAR,PKD BESUT,BESUT,BESUT,TERENGGANU,35,KK7,09-6911733,09-6958699 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
535,102.597560,5.762390,21-11010051,KK SRI MEDANG,KAMPUNG RAJA,22200,LUAR BANDAR,PKD BESUT,BESUT,BESUT,TERENGGANU,174,KK4,09-6958386/ 09-6958387,09-6958669,Ada,Ada,Ada,Ada,Tiada,Tiada
536,102.476048,5.741271,21-11010224,KK PADANG LUAS,"JERTIH, BESUT",22000,BANDAR,PKD BESUT,BESUT,BESUT,TERENGGANU,279,KK4,09-6903239 / 09-6903160,-,Ada,Ada,Ada,Ada,Tiada,Tiada
537,102.880667,5.360917,21-11070050,KK SRI LANGKAP,SG TONG,21500,LUAR BANDAR,PKD SETIU,SETIU,SETIU,TERENGGANU,155,KK4,09-6571997,09-6571998,Ada,Ada,Ada,Ada,Tiada,Tiada
538,102.801267,5.465300,21-11070031,KK KAMPUNG RAHMAT,CHALOK,21450,LUAR BANDAR,PKD SETIU,SETIU,SETIU,TERENGGANU,177,KK4,09-8240833 / 09-6663733,09-6097433,Ada,Ada,Ada,Ada,Tiada,Tiada
539,102.738600,5.529850,21-11070020,KK BANDAR PERMAISURI,BANDAR PERMAISURI SETIU,22100,LUAR BANDAR,PKD SETIU,SETIU,SETIU,TERENGGANU,240,KK4,09-6097633,09-6097512,Ada,Ada,Ada,Ada,Tiada,Tiada
540,102.907417,5.307317,21-11070052,KK SUNGAI TONG,SETIU,21500,LUAR BANDAR,PKD SETIU,SETIU,SETIU,TERENGGANU,68,KK6,09-8240833,09-6097387 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
541,103.206944,4.625000,21-11020019,KK ALMUKTAFI BILLAH SHAH,AL-MUKTAFI BILLAH SHAH,23400,LUAR BANDAR,PKD DUNGUN,DUNGUN,DUNGUN,TERENGGANU,136,KK5,09-8221333,09-8222734,Ada,Ada,Ada,Ada,Tiada,Tiada
542,103.185556,4.755278,21-11020022,KK BUKIT BESI,BUKIT BESI,23200,LUAR BANDAR,PKD DUNGUN,DUNGUN,DUNGUN,TERENGGANU,115,KK5,09-8337236,09-8422101 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
543,103.190000,4.905000,21-11020029,KK JERANGAU,AJIL,21820,LUAR BANDAR,PKD DUNGUN,DUNGUN,DUNGUN,TERENGGANU,107,KK5,09-8384333,09-8422101 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
544,103.311389,4.571389,21-11020034,KK KETENGAH JAYA,BANDAR KETENGAH JAYA,23300,LUAR BANDAR,PKD DUNGUN,DUNGUN,DUNGUN,TERENGGANU,266,KK4,09-8200233,09-8201513,Ada,Ada,Ada,Ada,Tiada,Tiada
545,103.420556,4.816944,21-11020037,KK KUALA ABANG,JALAN KLINIK KUALA ABANG,23050,BANDAR,PKD DUNGUN,DUNGUN,DUNGUN,TERENGGANU,129,KK5,09-8442333,09-8443803,Ada,Ada,Ada,Ada,Tiada,Tiada
546,103.413889,4.761389,21-11020206,KK KUALA DUNGUN,JALAN ALOR TEMBESU,23000,BANDAR,PKD DUNGUN,KUALA DUNGUN,DUNGUN,TERENGGANU,304,KK3,09-8458820,09-8458739,Ada,Ada,Ada,Ada,Tiada,Tiada
547,103.437500,4.631389,21-11020045,KK PAKA,PAKA,23100,BANDAR,PKD DUNGUN,DUNGUN,DUNGUN,TERENGGANU,315,KK3,09-8271333,09-8273677,Ada,Ada,Ada,Ada,Tiada,Tiada
548,103.048703,5.116775,21-11030018,KK AJIL,AJIL,21800,LUAR BANDAR,PKD HULU TERENGGANU,HULU TERENGGANU,HULU TERENGGANU,TERENGGANU,225,KK4,09-6861633,09-6812191 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
549,103.030944,4.862723,21-11030134,KK FELDA MENGKAWANG,AJIL,21800,LUAR BANDAR,PKD HULU TERENGGANU,HULU TERENGGANU,HULU TERENGGANU,TERENGGANU,48,KK7,09-6881896,09-6812191 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
550,103.011944,5.075211,21-11030038,KK KUALA BERANG,"HOSPITAL HULU, KUALA BERANG",21700,BANDAR,PKD HULU TERENGGANU,HULU TERENGGANU,HULU TERENGGANU,TERENGGANU,399,KK3,09-6811597 / 09-6814061,09-6812191 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
551,103.030697,5.219050,21-11030053,KK TELEMONG,"JALAN KUALA TELEMONG, KUALA BERANG",21210,LUAR BANDAR,PKD HULU TERENGGANU,HULU TERENGGANU,HULU TERENGGANU,TERENGGANU,137,KK5,09-6142997,09-6812191 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
552,102.936161,5.153064,21-11030054,KK TENGKAWANG,"KUALA BERANG, HULU",21700,LUAR BANDAR,PKD HULU TERENGGANU,HULU TERENGGANU,HULU TERENGGANU,TERENGGANU,128,KK5,09-6818710,09-6812191 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
553,103.212217,4.271064,21-11040017,KK AIR PUTEH,JALAN AIR PUTEH,24050,LUAR BANDAR,PKD KEMAMAN,AIR PUTIH,KEMAMAN,TERENGGANU,98,KK6,09-8593355/ 09-8585560,09-8581393,Ada,Ada,Ada,Ada,Tiada,Tiada
554,103.398465,4.239574,21-11040214,KK BATU 2 1/2,JALAN AIR PUTIH,24000,BANDAR,PKD KEMAMAN,KEMAMAN,KEMAMAN,TERENGGANU,409,KK3,09-8581540,09-8581071,Ada,Ada,Ada,Ada,Tiada,Tiada
555,103.486136,4.333181,21-11040036,KK KIJAL,JALAN PANTAI PENUNJUK,24100,BANDAR,PKD KEMAMAN,KEMAMAN,KEMAMAN,TERENGGANU,185,KK4,09-8589925,09-8591330 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
556,103.436028,4.215717,21-11040040,KK KUALA KEMAMAN,KUALA KEMAMAN,24000,BANDAR,PKD KEMAMAN,KEMAMAN,KEMAMAN,TERENGGANU,174,KK4,09-8683659,09-8686436,Ada,Ada,Ada,Ada,Tiada,Tiada
557,103.323822,4.380972,21-11040049,KK SRI BANDI,JALAN BUNGA RAYA,24000,LUAR BANDAR,PKD KEMAMAN,KEMAMAN,KEMAMAN,TERENGGANU,118,KK5,09-8676254/ 09-8676089,09-8676244,Ada,Ada,Ada,Ada,Tiada,Tiada
558,103.243264,4.124250,21-11040025,KK CHENEH,BNADAR BARU CHENEH,24000,LUAR BANDAR,PKD KEMAMAN,KEMAMAN,KEMAMAN,TERENGGANU,153,KK4,09-8730100,09-8732730,Ada,Ada,Ada,Ada,Tiada,Tiada
559,103.175590,4.123192,21-11040089,KK CHERUL,KEMAMAN,24000,LUAR BANDAR,PKD KEMAMAN,KEMAMAN,KEMAMAN,TERENGGANU,42,KK7,09-8730895,09-8591330 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
560,103.418272,4.239422,21-11040026,KK CHUKAI,JALAN SENTOSA,24000,BANDAR,PKD KEMAMAN,CHUKAI,KEMAMAN,TERENGGANU,145,KK5,09-8591619,09-8582548,Ada,Ada,Ada,Ada,Tiada,Tiada
561,103.452517,4.427736,21-11040032,KK KEMASIK,KEMASIK TERENGGANU,24200,BANDAR,PKD KEMAMAN,KEMAMAN,KEMAMAN,TERENGGANU,140,KK5,09-8640033 / 09-8642800,09-8642799,Ada,Ada,Ada,Ada,Tiada,Tiada
562,103.440789,4.503642,21-11040033,KK KERTEH,"KERTEH, KEMAMAN",24300,BANDAR,PKD KEMAMAN,KERTEH,KEMAMAN,TERENGGANU,216,KK4,09-8261333,09-8261790,Ada,Ada,Ada,Ada,Tiada,Tiada
563,103.059010,5.426020,21-11050021,KK BATU RAKIT,JALAN BATU RAKIT,21030,BANDAR,PKD KUALA TERENGGANU,KUALA TERENGGANU,KUALA TERENGGANU,TERENGGANU,412,KK3,09-6693331,09-6693562,Ada,Ada,Ada,Ada,Tiada,Tiada
564,103.107889,5.344222,21-11050024,KK BUKIT TUNGGAL,KAMPUNG BUKIT TUNGGAL,21200,BANDAR,PKD KUALA TERENGGANU,KUALA TERENGGANU,KUALA TERENGGANU,TERENGGANU,352,KK3,09-6626275/ 06-6626271,09-6621312,Ada,Ada,Ada,Ada,Tiada,Tiada
565,103.134472,5.313722,21-11050027,KK HILIRAN,JALAN KEMAJUAN BUKIT KECIL,20648,BANDAR,PKD KUALA TERENGGANU,KUALA TERENGGANU,KUALA TERENGGANU,TERENGGANU,516,KK2,09-6232732,09-6224167,Ada,Ada,Ada,Ada,Tiada,Tiada
566,103.081583,5.321639,21-11050042,KK MANIR,KAMPUNG KUBANG JELA,21200,BANDAR,PKD KUALA TERENGGANU,KUALA TERENGGANU,KUALA TERENGGANU,TERENGGANU,379,KK3,09-6151447,09-6151449,Ada,Ada,Ada,Ada,Tiada,Tiada
567,103.010782,5.779326,21-11050161,KK PULAU REDANG,KAMPUNG BARU PULAU REDANG,21090,BANDAR,PKD KUALA NERUS,KUALA NERUS,KUALA NERUS,TERENGGANU,38,KK7,09-6300055 PKD NERUS,09-6307823,Ada,Ada,Ada,Ada,Tiada,Tiada
568,103.116944,5.375722,21-11050048,KK SEBERANG TAKIR,JALAN TELOK KETAPANG,21300,BANDAR,PKD KUALA TERENGGANU,KUALA TERENGGANU,KUALA TERENGGANU,TERENGGANU,412,KK3,09-6663333,09-6669529,Ada,Ada,Ada,Ada,Tiada,Tiada
569,103.199078,5.200470,21-11060073,KK BINJAI RENDAH,BUKIT PAYONG,21040,BANDAR,PKD MARANG,MARANG,MARANG,TERENGGANU,88,KK6,09-6192050,09-6183984 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
570,103.099800,5.235867,21-11060023,KK BUKIT PAYONG,MARANG,21400,BANDAR,PKD MARANG,MARANG,MARANG,TERENGGANU,495,KK3,09-6195805 / 09-6191333,09-6195827,Ada,Ada,Ada,Ada,Tiada,Tiada
571,103.205650,5.204433,21-11060043,KK MARANG,MARANG,21600,BANDAR,PKD MARANG,MARANG,MARANG,TERENGGANU,412,KK3,09-6182216 / 09-6182030,09-6184485,Ada,Ada,Ada,Ada,Tiada,Tiada
572,103.302217,5.020217,21-11060044,KK MERCHANG,MARANG,21610,LUAR BANDAR,PKD MARANG,MARANG,MARANG,TERENGGANU,150,KK4,09-8322179,09-6183984 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
573,103.138780,5.109260,21-11060047,KK PENGKALAN BERANGAN,MARANG,21600,LUAR BANDAR,PKD MARANG,MARANG,MARANG,TERENGGANU,123,KK5,09-6120073,09-6183984 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
574,103.084267,5.137667,21-11060055,KK WAKAF TAPAI,MARANG,21040,LUAR BANDAR,PKD MARANG,MARANG,MARANG,TERENGGANU,128,KK5,09-6801533,09-6801975,Ada,Ada,Ada,Ada,Tiada,Tiada
575,102.444849,5.949790,21-03010186,KK KANDIS,BACHOK,16300, LUAR BANDAR,PKD BACHOK,BACHOK,BACHOK,KELANTAN,151,KK4,09-7782825,-,Ada,Ada,Ada,Ada,Tiada,Tiada
576,102.399080,6.056170,21-03010023,KK BACHOK,BACHOK,16300,LUAR BANDAR,PKD BACHOK,BACHOK,BACHOK,KELANTAN,414,KK3,09-7789333,09-7788680 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
577,102.372940,6.106050,21-03010031,KK BALAI,BACHOK,16300,LUAR BANDAR,PKD BACHOK,BACHOK,BACHOK,KELANTAN,164,KK4,09-7767206,09-7788680 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
578,102.364850,6.073680,21-03010039,KK BERIS,KUBOR BESAR,16300,LUAR BANDAR,PKD BACHOK,BACHOK,BACHOK,KELANTAN,260,KK4,09-7788633,09-7788680 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
579,102.350877,6.128631,21-03010316,KK BERIS PANCHOR,TAWANG,16020,LUAR BANDAR,PKD BACHOK,BACHOK,BACHOK,KELANTAN,212,KK4,09-7767358,09-7788680 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
580,102.347690,5.989270,21-03010051,KK GUNONG,BACHOK,16390,LUAR BANDAR,PKD BACHOK,BACHOK,BACHOK,KELANTAN,285,KK4,09-7834333,09-7788680 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
581,102.301020,5.956220,21-03010062,KK MAHLIGAI,JALAN PASIR PUTEH KOTA BHARU,16400,LUAR BANDAR,PKD BACHOK,BACHOK,BACHOK,KELANTAN,239,KK4,09-7834213,09-7788680 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
582,102.339000,6.021540,21-03010204,KK KUCHELONG,KUCHELONG,16090,LUAR BANDAR,PKD BACHOK,BACHOK,BACHOK,KELANTAN,64,KK6,09-7832989,-,Ada,Ada,Ada,Ada,Tiada,Tiada
583,101.965330,4.879970,21-03020032,KK GUA MUSANG,GUA MUSANG,18300,BANDAR,PKD GUA MUSANG,GUA MUSANG,GUA MUSANG,KELANTAN,284,KK4,09-9121333,09-9121009 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
584,102.299690,4.953890,21-03020028,KK ARING 2,GUA MUSANG,18300,LUAR BANDAR,PKD GUA MUSANG,GUA MUSANG,GUA MUSANG,KELANTAN,61,KK6,09-9286333,09-9121009 (PKD),Ada,Ada,Ada,Ada,Tiada,Tiada
